ID	Title	Game	Author	Version	Date	Tags	Description	Update	Embed	URL	Text	Icon	Source	Thread	Alt URL	Alt Text	Alt Icon	Guide URL	Guide Text		
p5-deathwish	Deathwish	P5	Pengdoo	1	10/8/2019	"Difficulty, TBL, AI, BF"	"This mod increases the stats of most enemies and changes the AI of bosses past the 5th Palace. Regular enemies and Mementos bosses will have their attributes (St, Ma, En, Lu, Ag) increased and their HP multiplied. Moreover, Mementos missions and Palace bosses will yield much more EXP and yen than usual. If you consider using it, I recommend you play on Merciless difficulty: the x3 multipliers on Critical and Technical hits shorten the fight with high HP enemies."	 	https://www.youtube.com/watch?v=Q3GCkEn1qns	https://www.dropbox.com/s/92u0bt1n3kj696g/P5%20Deathwish.zip?dl=0	Mod	folder-open	 	 	 	 	 	 	 		
p5d-lastsurprise	Last Surprise Swimwear	P5D	Coffee-Kun	1	10/8/2019	"Player Model, Party Model"	"This swaps Ann's, Makoto's and Futaba's normal swim wear models to that of the ones used in the Last Surprise video. It's a simple model swap, but it's nice to be able to use these outfits in-game."	 	https://i.ibb.co/JqF5ypf/swim-wear-alt.png	https://drive.google.com/file/d/1Nx7-c8VlNRCASZrrOSZ4YxKLD6kt35UL/view	Mod	folder-open	 	 	 	 	 	 	 		
p5-megalovania	Megalovania BGM	P5	Fish	1	10/8/2019	BGM	This mod replaces all BGM with Megalovania or Megalovania remixes	 	 	https://drive.google.com/drive/folders/1WFX8d8OTcbf7WlJDiUCfy_4LdayQoM3T	Mod	folder-open	 	 	 	 	 	 	 		
p5-dantevergil	Dante and Vergil Joker Recolors	P5	CrazyGM	1	10/8/2019	Player Model	Remember Joker's meme using the Dante and Vergil from Devil May Cry series scheme colors because of their alternate colors in Smash Ultimate? This is a mod based on that.	 	https://www.youtube.com/watch?v=n4B5m7M_HeU	https://www.mediafire.com/file/cniluucjnfmfa06/Dante%B4s_colors_for_Joker_Phantom_Thief_outifit.rar/file	(Dante)	folder-open	 	 	https://www.mediafire.com/file/mllhecbb6rrayjx/Vergil%B4s_colors_for_Joker_Phantom_Thief_outifit.rar/file	(Vergil)	folder-open	 	 		
p5-orpheustelos	Orpheus Telos Mod	P5	CrazyGM	1	10/13/2019	"Persona Model, Persona Moveset"	Replaces Orpheus Picaro with Orpheus Telos.	 	https://www.youtube.com/watch?v=8WFzhwGPmCA	https://www.mediafire.com/file/t6fm7zi23bhncz4/Orpheus_Telos.rar/file	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=13	 	 	 	 	 		
p5-battleportraits	All-in-One Battle Portraits	P5	IevanDumal	1	10/14/2019	"PLG, SPR, UI, Template"	"Replaces the black background of the battle UI with a sprite instead of a PLG, neatly rearranged for easy editing of party member icons.<br><br>The included PLG has the original vectors dummied out, shout out to Yangster for discovering the trick"	 	https://cdn.discordapp.com/attachments/143149937247387649/608030593929838593/unknown.png	https://drive.google.com/open?id=1S9lnqSZVBWV9-tedfQ-nPQf_sfdFUjT5	Mod	folder-open	 	 	 	 	 	 	 		
p5-darkechiplg	Darkechi PLG Icons	P5	"lipsum, IevanDumal"	1	10/14/2019	"PLG, SPR, UI"	"A version of the ""Darkechi Replacer"" mod that uses lipsum's io_plg to render the P5R Akechi battle icons as vectors.<br><br>Benefits: Scales to any resolution without artifacting and changes color with status effects. Use the included patch.yml for alignment fixes."	 	https://cdn.discordapp.com/attachments/143149937247387649/632827927314038804/gimp-2.10_fH2uQuDmdj.png	https://drive.google.com/open?id=15XDdjpzMzYxRZEQ-yz6PLJL8GS8kp_Hj	Mod	folder-open	 	 	 	 	 	 	 		
p5d-noglasses	No Glasses for Ren (Hair Swap)	P5D	Coffee-Kun	1	10/16/2019	Player Model	"Replaces the Unmasked Thief hair model with the default hair model, since he doesn't wear glasses with this model."	 	https://i.ibb.co/wSpWHPq/2019-10-16-162104.png	https://drive.google.com/file/d/1S16n2yNOY0SMuFJxOWFFNb-WVwc7crUo/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=16&p=60#p60	 	 	 	 	 		
p5-redanngloves	Ann Red Gloves	P5	Zelkin	1	10/18/2019	Party Model	Here is a simple mod which changes the color of Ann's gloves from ugly pink to nice dark red.	 	 	https://drive.google.com/file/d/1PDIB1d-lpJB-CJXJPlJ6uDfttClGzMkF/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=22	 	 	 	 	 		
p5-darkechi	Darkechi Replacer	P5	"ciolnirrep, lonelyCrow"	2	11/3/2019	"Party Model, Voices, Bustup, Scripts, Text"	"Replaces Akechi's in-battle animations with his boss animations, tints his sword red, gives him new voice lines, changes several Mementos bustups, adds new dialog when adding him to the team and works with every costume. Designed to work with the Alternate Costumes Mod by ShrineFox."	"<b>Update 11/3/2019:</b><br>-Multiple improvements by the author, see included readme.txt"	 	https://www.mediafire.com/file/wo77qrwa6tfjhts/Darkechi_V2fix.rar/file	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=39	https://mega.nz/#!v2YDHS4Q!-QNwkn42jdh50rvmQlclfmNEyPt-657DZH8wBXABAgc	v1.0 (Outdated)	 	 	 		
p5bgmoverhaul	Persona 5 Music Overhaul	P5	shibe	1	11/5/2019	BGM	"This mod aims to spice up the soundtrack of Persona 5 for a more definitive experience, similar to the Full Moonlight Edition mod for Persona 3 FES. It currently includes songs from Persona 5 Royal, Persona 5: Dancing in Starlight, Persona Q2: New Cinema Labyrinth, and Persona 5 the Animation. <a href=""https://shrinefox.com/forum/viewtopic.php?f=15&t=45"">Song List</a>"	 	 	https://mega.nz/#!hqJ3AYJS!dbCM3jYPZEZTPyUPxfPF7JwsfkhbCiVNE_MWhzaZUHE	Mod	file	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=45	 	 	 	 	 		
usableloki	Usable Loki	P5	Fish	1	11/18/2019	"Persona, TBL"	This mod gives Loki a complete Skill tree! <br>This is an early version of the mod so you can currently only access Loki by using the Amicitia mod menu (Add Persona/L/Loki 219). Loki's weaknesses and resistances are now completely original	 	 	https://drive.google.com/drive/folders/1XUY0lttDxPfE_HlPo39NfcGr-5_s0XQ1	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=53	 	 	 	 	 		
p5-nonavilines	No Annoying Navigator	P5	Zelkin	2	12/1/2019	"ACB, Navigator Voices"	This mod silences the most repetitive voice lines from Makoto and Morgana during fights. Works only for japanese voices.	<b>Update 12/1/2019:</b> Added Futaba version	 	https://drive.google.com/file/d/16qTk0Nve5RSA3PTp-u-q1erDREmsd59E/view	(Morgana)	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=21	https://drive.google.com/file/d/1_YXzVj_gzjRer0KTdGotdWqPk_2GrQzH/view	(Futaba)	 	 	 		
ps2opening	PS2 P4 Opening	P4G	teakhanirons	1	12/21/2019	Opening	"The PS2 opening movie exists in the game files under the name ""P4CTOP1.MP4"" and you can just decrypt that and use rePatch to direct to it when the game calls for the actual file. Of course, this will have the side effect of the P4G opening movie playing in the TV guide thingy."	 	https://www.youtube.com/watch?v=VmSGiNCv3sA	https://mega.nz/#!XzYh1aAL!l0lYw0Ceg3KgWLM4csfmnnDfAEMOK6T2X7zLlmX_DNw	(Vita)	file	 	https://shrinefox.com/forum/viewtopic.php?f=19&t=69	 	 	 	 	 		
chiep4gvoice	P4 with P4G Chie Voices	P4	"ShrineFox, Qlonever"	2	1/10/2020	Voice Clips	A mod that replaces all of Chie's voices with her newly re-voiced P4G clips.	"<b>Update 2.0</b>: Qlonever kindly fixed several errors with the original mod!<br><b>NOTE:</b> When building a new ISO with the Mod Compendium, manually delete ZZZZZ.BIN before replacing the DATA.CVM and SLUS_217.82 to ensure that the ISO saves properly."	https://www.youtube.com/watch?v=jqNGDkzK3cI	https://drive.google.com/file/d/1EuhQfajab_ZmoxXXb11m1ck0QVkNGA9z/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=12&p=147#p147	 	 	 	 	 		
tbp5mm	The Big Persona 5 Music Mod	P5	solarj	1	1/10/2020	BGM	"Featuring songs from: Persona 5 Royal, Persona 5 Scramble, Catherine, Smash Ultimate, and more. <a href=""https://shrinefox.com/forum/viewtopic.php?f=15&p=178#p178"">Song List</a>"	 	https://www.youtube.com/watch?v=ss2XI0cFZZ8	https://drive.google.com/file/d/1xqqZxZwID8MFqOF3J3Wyi3aXLn-UdSNG/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=60	 	 	 	 	 		
modmenu	Persona 5 Mod Menu	P5	"ShrineFox, TGE, CaptainSwag101"	1.6	1/13/2020	"Scripts, Gameplay"	"A multi-purpose custom menu that gets loaded when you press the Square button. Edit cameras, flags, the calendar, player stats, personas and skills-- as well as view animations, models, fields, events and more."	"<b>Update v1.5 (11/18/2018):</b> <br>Fixes descriptions, adds follower flags & coordinate printing to log, prevents mod menu from being disabled by mass flag editor. Fixes crashes/softlocks with quicktravel."	https://cdn.discordapp.com/attachments/428021649246388224/447597680018063372/unknown.png	https://github.com/ShrineFox/Persona-5-Mod-Menu/releases	Mod	folder-open	https://github.com/ShrineFox/Persona-5-Mod-Menu	 	 	 	 	 	 		
p4au-undub	P4AU Undub	P4AU	lipsum	1	1/20/2020	Player Voices	Undubs voices and movies via a fake custom update + patch.yml. README.md should contain everything you need to know on how to install.	 	https://streamable.com/s/wkzrv/rgrvbc	https://mega.nz/#F!KqY3EIaB!oi8xHIHAGlgGYixnsh1E-w	Download	file	 	https://shrinefox.com/forum/viewtopic.php?f=27&t=117	 	 	 	 	 		
p5joker	Joaquin Phoenix Joker	P5	SuperMaster10	1	1/27/2020	Player Model	"Replaces the textures of Joker's battle model to make it more similiar to Joaquin Phoenix's portrayal of Joker, currently only replaces that model and nothing else."	 	https://i.imgur.com/KUBWgxm.png	https://www.mediafire.com/file/wujrya7xljlm4iv/Joaquin_Phoenix_Joker.rar/file	Mod	file	 	https://shrinefox.com/forum/viewtopic.php?f=15&p=242	 	 	 	 	 		
cfb-english	English Patch (CFB Vita)	CFB	froid_san	0.8	2/10/2020	"Text, Translation"	An English port of Catherine:Full Body since Atlus decided not to localize it to the Vita. This is just good old-fashioned transcribing text from numerous videos on YouTube and my own gameplay.<br><b>What's translated:</b><br>All Images that contain text used in menu’s and such<br>Regular Menu/Navigation Text<br>99% of the Cut-scene and FMV<br>90% of the cellphone messages<br>80% of the NPC on the Lounge and Landings (nightmare)<br>All Confessional Questions<br>70% Quotes on loading screen<br><b>What's not translated:</b><br>Most of the Multiplayer mode (PS4 version needs PS+ so can’t see the text there)<br>Arrow labels	 	https://www.youtube.com/watch?v=DZYN91dsI7Q	https://drive.google.com/open?id=1LFXc1C6jocQcaTyhuMvJZS3Ss9ngUfp0	Mod	folder-open	https://froidromhacks.org/catherine-full-body-english-pocproof-of-concept-english-port-v0-30-vita/	 	 	 	 	 	 		
p3d-usa-mod-cpk	P3D USA Mod Support	P3D	lipsum	1	2/23/2020	CPK	Eboots that add intro skip and mod loading functionality to P3D (USA). Rename to eboot.bin and put in your game's rePatch directory.	 	 	https://cdn.discordapp.com/attachments/143149937247387649/679416968708882443/pcse01274.7z	Mod	folder-open	https://github.com/zarroboogs/pXd-patches	https://shrinefox.com/forum/viewtopic.php?f=16&t=115	 	 	 	 	 		
p5d-usa-mod-cpk	P5D USA Mod Support	P5D	lipsum	1	2/23/2020	CPK	Eboots that add intro skip and mod loading functionality to P5D (USA). Rename to eboot.bin and put in your game's rePatch directory.	 	 	https://cdn.discordapp.com/attachments/143149937247387649/679417150959517716/pcse01275.7z	Mod	folder-open	https://github.com/zarroboogs/pXd-patches	https://shrinefox.com/forum/viewtopic.php?f=16&t=115	 	 	 	 	 		
p5-ryujiinstakill	Disable Ryuji Instakill	P5	LillianGoulston	1	2/29/2020	CTD	Removes the Instakill ability from Ryuji's Confidant	 	https://i.imgur.com/ltdOWYS.png	https://cdn.discordapp.com/attachments/410951708274065409/683396495306784834/Disable_Ryuji_Instakill.zip	Mod	folder-open	 	 	 	 	 	 	 		
p5-p4gfont	P4G Font for P5	P5	Alan3D	1	2/29/2020	FNT	Replaces P5's main in-game font with P4G's.	 	 	https://cdn.discordapp.com/attachments/410951708274065409/683418498055274541/P4G_Font_for_P5.7z	Mod	folder-open	 	 	 	 	 	 	 		
p4au-patches	P4U2 Patches	P4AU	lipsum	1	2/29/2020	PNACH	"Included patches:<br>- Intro Skip (JP/US Versions)<br>- Japanese Movies (US Version)<br>- English Subs (JP Version) <br>- Content ""Enabler"" (JP/US Versions)<br>To enable, include these in RPCS3's patch.yml and comment/uncomment the patches you wish to enable/disable under the PPU-<hash> section. <br>You can also apply these patches directly to an eboot.elf file using <a href=""https://github.com/TGEnigma/RPCS3PatchEboot"">RPCS3PatchEboot</a> or <a href=""https://github.com/zarroboogs/heeboot"">heeboot</a>."	 	 	 	 	 	https://gist.github.com/zarroboogs/9113fa98b01079b39934142e3a3281b3	https://shrinefox.com/forum/viewtopic.php?f=27&t=116	 	 	 	 	 		
p4gundub	P4G Undub	P4G	"ShrineFox, lipsum"	1	3/4/2020	"Voice Clips, Cutscenes"	For the US version of P4G. Changes: Imported JP sound/PAC files	<b>Update 3/4/2020</b>: Add mod.cpk/cutscenes by lipsum	https://streamable.com/s/fk7rl/tecevu	https://drive.google.com/file/d/1W3lJK0xqR20601hi2kJkUpHV2jmdAdeY/view?usp=sharing	(Vita)	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=19&p=342#p342	https://mega.nz/#F!S2B0HAqD!gvGPhZv2LFaLk5gjIMkymw	mod.cpk (Vita)	file	 	 		
p5-royalopening	P5 Royal Opening	P5	slasherguy21	1	3/4/2020	USM	This swaps out the original persona 5 opening with Persona 5 Royal opening.	 	 	https://www.dropbox.com/s/2xuuim5kmrd38i6/Persona%20Royal%20Opening.zip?dl=0&file_subpath=%2FPersona+Royal+Opening	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=123&p=344#p344	 	 	 	 	 		
p5-scrambleopening	P5 Scramble Opening	P5	slasherguy21	1	3/8/2020	USM	This replaces the Persona 5 opening with Persona 5 Scramble.	 	 	https://drive.google.com/file/d/1ZbNxzLhv3pGLzOBCXEeWch9Lh7Lsap3n/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=124&p=362#p362	 	 	 	 	 		
p3fes-moviebgm	Persona 3 FES Movie BGM Mod	P3FES	slasherguy21	1	3/11/2020	"BGM, ADX"	"Swaps some the songs for the remixes from the movie.<br>(<a href=""https://shrinefox.com/forum/viewtopic.php?f=11&t=130"">Changelog</a>)"	 	 	https://drive.google.com/file/d/1Tdui2LhalHOvB7WrzLDa3lgdUhAoIxM0/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=11&t=130	 	 	 	 	 		
p4-goldenadachitheme	P4GA Adachi Battle Theme	P4	slasherguy21	1	3/11/2020	"BGM, ADX"	Swaps Adachi them with the ying yang song from the A1 persona 4 Golden anime.	 	 	https://drive.google.com/file/d/1GTmnV7GbgcgwxAknMtNvrXqdNb0RKKa1/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=12&t=129	 	 	 	 	 		
p4-animecutscenes	Persona 4 Anime Cutscenes	P4	slasherguy21	1	3/18/2020	SFD	"A Persona 4 cutscenes mod made from episodes of the anime, inspired by Rebirth Cutscenes from Robot_Gerbil. <a href=""https://drive.google.com/file/d/18Y2AMu_bi-Am5o2JkITLDayREScL6bE0/view"">Click here</a> to preview the changes and compare them to the originals in case you only want to swap out specific scenes."	<b>Update 3/18/2020</b>: Added all 20 cutscene replacements	 	https://drive.google.com/file/d/19AiFR--nWVW2ivvJR2U0valzZWXCHNGZ/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=12&t=139	 	 	 	 	 		
p4-hostfs	Persona 4 hostFS Patch	P4	TGE	1	3/28/2020	"PNACH, CVM, Debug"	"Replace/Add files to the CVMs without repacking.<br>1. Edit PCSX2_vm.ini inside the PCSX2 ini folder and change the line with 'HostFs=disabled' to 'HostFs=enabled'.<br>2. Extract the SLUS from the ISO and add the .ELF extension to it.<br>3. Place replacement files in a folder named after the CVM, which goes in the same directory as the .ELF.<br>4. Load the game's ISO in PCSX2 (with cheats enabled), and then select ""Run ELF"" from the ""File"" menu."	 	 	https://shrinefox.com/txt/DEDC3B71.pnach.txt	.PNACH	code	 	 	 	 	 	https://shrinefox.com/guides/modding-using-hostfs-on-pcsx2-p3-p4-smt3	Modding using HostFS on PCSX2		
p3fes-hostfs	Persona 3 FES hostFS Patch	P3FES	TGE	1	3/28/2020	"PNACH, CVM, Debug"	"Replace/Add files to the CVMs without repacking.<br>1. Edit PCSX2_vm.ini inside the PCSX2 ini folder and change the line with 'HostFs=disabled' to 'HostFs=enabled'.<br>2. Extract the SLUS from the ISO and add the .ELF extension to it.<br>3. Place replacement files in a folder named after the CVM, which goes in the same directory as the .ELF.<br>4. Load the game's ISO in PCSX2 (with cheats enabled), and then select ""Run ELF"" from the ""File"" menu."	 	 	https://shrinefox.com/txt/94A82AAA.pnach.txt	.PNACH	code	 	 	 	 	 	https://shrinefox.com/guides/modding-using-hostfs-on-pcsx2-p3-p4-smt3	Modding using HostFS on PCSX2		
smt3-hostfs	Nocturne hostFS Patch	SMT3	TGE	1	3/28/2020	"PNACH, CVM, Debug"	"Replace/Add files to the dds3.img and MOVIE folder without repacking.<br>1. Edit PCSX2_vm.ini inside the PCSX2 ini folder and change the line with 'HostFs=disabled' to 'HostFs=enabled'.<br>2. Extract the SLUS from the ISO and add the .ELF extension to it.<br>3. Extract contents of dds3.img and MOVIE to a folder named ""dds3data"", which goes in the same directory as the .ELF.<br>4. Load the game's ISO in PCSX2 (with cheats enabled), and then select ""Run ELF"" from the ""File"" menu."	 	 	https://shrinefox.com/txt/E8FCF8EC.pnach.txt	.PNACH	code	 	 	 	 	 	https://shrinefox.com/guides/modding-using-hostfs-on-pcsx2-p3-p4-smt3	Modding using HostFS on PCSX2		
p5-epicbgmmod	An EPIC Persona 5 Music Mod	P5	Century_	1	4/3/2020	BGM	"Takes various songs from the original sountrack from Persona 5 and replaces them with musical pieces from Persona 4, Persona Q, Persona Q2, Persona 3/5 Dancing, Persona 5 Royal and Persona 5 Scramble."	 	 	https://drive.google.com/drive/folders/1OWkrIwCGDazseVa3fc6ulOZTNbxazBKE	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=150	 	 	 	 	 		
p5-p5rbustups	P5R Bustup Portrait Backport	P5	"chlorophylls, rexis"	1.2	11/29/2020	"Bustup, Port"	"Backports the new and redrawn portraits from P5 Royal to the PS3 version of P5, and adds the ones for new characters such as Kasumi, José, and Maruki, and more. This also adds the bustup portraits for the new winter outfits. This is not compatible with the 4K mod, due to having different resolutions for the bustups."		https://i.imgur.com/I976QcU.png	https://drive.google.com/file/d/1g2f48mg5HMfaMWkGl4KHPeNMRcv3Is-x/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=176	 	 	 	 	 		
p5-xbox-prompts	Xbox Controller Prompts	P5	LeMalgache	1	4/23/2020	"UI, HUD"	This is a simple mod that replace all button prompts with their Xbox counterparts.	 	https://i.imgur.com/xbDDk8c.png	https://drive.google.com/file/d/1Lzp90u0wVC_NqfxdFKspgcAn2b5C4wRu/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&p=541	 	 	 	 	 		
p3-okami	Persona 3 Okami	P3FES	CrazyGM	1	4/27/2020	"Player Model, BGM, HUD, UI, Voices"	"Yu appears in 90% of the cutcenes, Izanagi-no-Okami, Izanagi, Magatsu Izanagi and Yoshitsune added to the game, 14 P4 OST tracks added, menu/UI changes, Myriad Truths added (replaces Morning Star)"	 	https://www.youtube.com/watch?v=Y-G7Cb3dhng	https://drive.google.com/uc?id=1gtSayPi9QwZr69uqpy5c-MS1XwOAV_PD&export=download	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=11&t=193	 	 	 	 	 		
p3p-p1post	P3P with P1 Portable OST	P3P	kesnos	1	5/1/2020	BGM	A mod for Persona 3 Portable that changes the music to the one from the psp version of Persona 1.	 	 	https://drive.google.com/file/d/1jglPpv6C0IzvE0BM0j5fXq8KilTUOWnO/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=18&t=112	 	 	 	 	 		
p5-ammo-refill	P5R Afterbattle Ammo Refill Mod	P5	chlorophylls	1	5/7/2020	BF	"This mod makes it so that your ammo automatically replenishes after every battle, just like how it works in P5R."	 	https://www.youtube.com/watch?v=ZDiwIyRHXqk	https://drive.google.com/file/d/19B8of3PxhaWZ3pUX109Mt7_10O1240UI/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&p=677	 	 	 	 	 		
p4g-p3protag	P3 Protagonist	P4G	mylifesalie	1	5/7/2020	"Player Model, Voices"	"This mod replaces the Protagonist's Gekkuokan outfit with P3P's Male Protagonist in his SEES Outfit with voice replacements, fixed animations, and effects.<br>Known issue: -The critical attack animation is too long and needs to be readjusted."	 	https://i.imgur.com/jfCRQxG.png	http://www.mediafire.com/file/xx9sc5vedo9yt5m/P4G_P3P_MC_mod.zip/file	(Vita)	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=19&p=676#p676	 	 	 	 	 		
p5-p5rfont	P5R/P5D Font	P5	DniweTamp	1.5	5/11/2020	"FNT, Font, Port"	I've ported the font from P5D (which is exactly the same in P5R) to P5. Big thanks to Pan-Hime on Twitter for giving me this font so I can use it.	<b>Update 5/11/2020</b>: Fixed buggy languages and edited spacing a bit	https://media.discordapp.net/attachments/365945072107257857/701217102933131295/Screenshot_60.png?width=845&height=475	https://cdn.discordapp.com/attachments/383343424625180675/706844647741194240/P5R_P5D_Font.zip	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=172	 	 	 	 	 		
p3d-rohan-koichi	Rohan and Koichi Costumes	P3D	80constant	1	5/15/2020	GMD	Heres my first released Persona mod. This replaces outfits for Junpei and Ken in Persona 3: Dancing in Moonlight to add costumes of Rohan Kishibe and Koichi Hirose from Jojo's Bizarre Adventure: Diamond is Unbreakable.	 	https://www.youtube.com/watch?v=1si-v8kg6Xg	https://drive.google.com/open?id=1WMtCVP9W_BOjRO_y1coGtgXNS9Cayzgf	Mod	folder-open	 	https://shrinefox.com/forum/viewforum.php?f=16	 	 	 	 	 		
p4-p4gp5rfonts	P4G/P5R Fonts	P4	DniweTamp	1	5/17/2020	"FNT, Font, Port"	Backported from P4G and P5D	 	https://cdn.discordapp.com/attachments/364029454269415424/711596464534716482/unknown.png	https://cdn.discordapp.com/attachments/383343424625180675/711597594136150036/P4G_Font.7z	Mod (P4G)	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=12&t=246	https://cdn.discordapp.com/attachments/383343424625180675/711597529342672936/P5R_Font.7z	Mod (P5R)	folder-open	 	 		
p5-4k-upscale	Full 4k UI Upscale	P5	rexis	1.21	5/19/2020	"SPR, Bustup"	This mod replaces P5's UI textures with higher resolution versions and also disables certain shaders that cause some extra blurriness. New textures are 3 to 5 times higher res (9x-25x pixel count) than the ones found in the ps3 version. Works only with RPCS3. More info inside.	<b>Update 5/19/2020</b>: Updated to 1.2.1	https://i.imgur.com/GjX9ezH.gif	https://mega.nz/file/EPwFWZDb#tMPcaKevE1Z6QCCIESNL5z24fidwS_ZHB8J4MxBRdh8	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&p=307	 	 	 	 	 		
p5-p5rkaleidoscope	P5R Styled Kaleidoscope	P5	DniweTamp	1	5/23/2020	"UI, HUD"	"The actual P5R kaleidoscope can't be backported because it works too differently there compared to vanilla, so I made a P5R Styled kaleidoscope traced from screenshots."	 	https://cdn.discordapp.com/attachments/353506385213784065/713820049097359430/unknown.png	https://cdn.discordapp.com/attachments/383343424625180675/713821502100865144/P5R_Styled_Kaleidoscope.7z	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=264	 	 	 	 	 		
p5-trueloki	True Loki Mod	P5	ReLyf	1	5/25/2020	Persona Model	Replaces Loki with Prince Akechi	 	https://www.youtube.com/watch?v=znacjWyBwIw	https://cdn.discordapp.com/attachments/714673250205958286/714673568574734336/True_Loki_0219.rar	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=266	 	 	 	 	 		
p5-alice-sae	Alice but its Sae Niijima	P5	ReLyf	1	5/25/2020	Persona Model	Replaces Alice with Shadow Sae	 	https://www.youtube.com/watch?v=OkDaH9MTQkQ	https://cdn.discordapp.com/attachments/714673250205958286/714888047191261194/Alice3.rar	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=267	 	 	 	 	 		
p5-redjoker	Red Joker	P5	ReLyf	1	5/27/2020	Player Model	Replaces the summer outfits with the title screen model	 	https://media.discordapp.net/attachments/353506385213784065/715280802455355462/screenshot-2020_05_28_03_02_22.png?width=827&height=465	https://cdn.discordapp.com/attachments/714673250205958286/715290194064179290/Red_Akira.rar	Mod (Normal)	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=275	https://cdn.discordapp.com/attachments/714673250205958286/715290196790345728/Red_Akira.rar	Mod (Plus)	folder-open	 	 		
p5-haruvan	T-Posing Haru Replaces Morgana Van	P5	ReLyf	1	5/30/2020	Party Model	"Ever wonder ""why does atlus gave floof ball so little screentime?"" ""I wish haru have more screentime"" Well now she does! With this mod she get all the screen time she maybe and probably deserves! This replaces carmona with haru T-POSING yes you read that right."	 	https://www.youtube.com/watch?v=FJDj1w3S-xs	https://cdn.discordapp.com/attachments/714673250205958286/716422969295110185/Haru_Screentime.rar	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=285	 	 	 	 	 		
p5-protagpersonas	"P3, P4, P5 Protagonists as Personas"	P5	ReLyf	1	5/31/2020	Persona Model	Izanagi - Yu Narukami <br>Orpheus - Minato Arisato<br> Izanagi Picaro - Akira Kurusu	 	https://www.youtube.com/watch?v=3oaMYiQl02Y	https://cdn.discordapp.com/attachments/714673250205958286/716821202424823808/3Protag.rar	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=292	 	 	 	 	 		
p5-bunnyshihoann	Bunny Shiho over Ann Catherine Outfit	P5	ReLyf	1	5/31/2020	Party Model	"Known bugs: Normal Ann Face will bugs out outside of battle because Atlus only use 1 Field animation for all outfit instead of each animation for each outfit (if you want this to be normal again just delete the folder named ""field"" inside the mod folder, But this will break bunny shiho face outside battle, so choose your poison)"	 	https://www.youtube.com/watch?v=zTnmjNv5P0U	https://cdn.discordapp.com/attachments/714673250205958286/716713593286033428/3.1Bunny_Shiho.rar	"(Battle only, has bugs)"	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=289	https://mega.nz/file/1AsgTSwI#5oB3s0hY-oJdYyMqfh1maGv2whxNdm7pCEZ7cqc1X3k	(All Ann Models)	https://mega.nz/file/UJNnEQqI#pgTkWYSxHRmw4PnSmqcFF-mE6DE2nS41d3aijrFYxBA	 	 		
p5-hqp5rop	P5R Opening HQ	P5	xDBFTGohanX	1	6/3/2020	USM	"This mod replaces P5's original opening with P5R's.<br> I converted P5R's opening to 720p, in the best quality possible. (Probably) <br>If i get it to look any better I'll just update it here.<br><br>Overall bitrate - 12.6 Mbps<br> Framerate - 30 FPS"	 	 	https://drive.google.com/file/d/1ASUdSkzbSw9dUVVPIcP-fsmAOvy8-vXY/view	Mod	folder-open	 	https://shrinefox.com/forum/viewtopic.php?f=15&t=298	 	 	 	 	 		
